14061   | 161.35.91.27     | US | DIGITALOCEAN-ASN	 US			
24940   | 168.119.62.24    | DE | HETZNER-AS	 DE			
12337   | 213.155.70.132   | DE | NORIS-NETWORK IT Service Provider located in Nuernberg	 Germany	 DE		
14061   | 45.55.45.105     | US | DIGITALOCEAN-ASN	 US			
24940   | 157.90.167.121   | DE | HETZNER-AS	 DE			
14061   | 167.71.50.29     | US | DIGITALOCEAN-ASN	 US			
37340   | 41.217.102.141   | NG | Spectranet	 NG			
197540  | 81.16.18.154     | DE | NETCUP-AS netcup GmbH	 DE			
30633   | 23.105.171.85    | US | LEASEWEB-USA-WDC	 US			
8100    | 107.150.23.173   | US | ASN-QUADRANET-GLOBAL	 US			
197540  | 202.61.226.156   | AT | NETCUP-AS netcup GmbH	 DE			
197540  | 202.61.224.203   | AT | NETCUP-AS netcup GmbH	 DE			
24940   | 135.181.153.93   | DE | HETZNER-AS	 DE			
24940   | 116.202.171.175  | DE | HETZNER-AS	 DE			
51167   | 213.136.94.163   | DE | CONTABO	 DE			
16509   | 3.129.72.101     | US | AMAZON-02	 US			
14061   | 142.93.144.134   | US | DIGITALOCEAN-ASN	 US			
16509   | 54.188.11.250    | US | AMAZON-02	 US			
39704   | 91.192.37.229    | NL | CJ2-AS	 NL			
33363   | 68.200.198.205   | US | BHN-33363	 US			
14618   | 18.232.208.181   | US | AMAZON-AES	 US			
39704   | 91.192.37.205    | NL | CJ2-AS	 NL			
51167   | 95.111.240.233   | DE | CONTABO	 DE			
14061   | 139.59.157.242   | SG | DIGITALOCEAN-ASN	 US			
24940   | 95.217.231.227   | DE | HETZNER-AS	 DE			
202422  | 92.38.163.212    | LU | GHOST	 LU			
24940   | 78.47.87.92      | DE | HETZNER-AS	 DE			
16591   | 136.52.18.129    | US | GOOGLE-FIBER	 US			
8560    | 212.227.213.133  | DE | IONOS-AS This is the joint network for IONOS	 Fasthosts	 Arsys	 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.	 DE
14618   | 107.23.139.227   | US | AMAZON-AES	 US			
24940   | 116.203.215.60   | DE | HETZNER-AS	 DE			
12874   | 93.55.228.243    | IT | FASTWEB	 IT			
